aX,aY,aZ
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
1.760,-0.288,0.020
2.032,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,0.116
2.040,-0.284,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,-0.172,-0.092
2.040,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.984,0.040,-0.360
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.248,-0.352
1.648,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
1.604,0.056,-0.392
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.688
0.788,-0.312,-0.704
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.272,-0.696
0.204,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-1.516,-0.812,0.564
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,1.260
-0.804,0.540,2.044
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,1.048,2.040
2.040,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,0.120
0.408,0.792,-0.440
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,0.384,-0.436
0.024,-0.048,-0.084
0.256,-0.036,-0.084
